id,Geographic Area Name,Graduate or professional degree
37001,"Alamance County, North Carolina",8192
37003,"Alexander County, North Carolina",1198
37005,"Alleghany County, North Carolina",584
37007,"Anson County, North Carolina",570
37009,"Ashe County, North Carolina",1435
37011,"Avery County, North Carolina",1130
37013,"Beaufort County, North Carolina",2757
37015,"Bertie County, North Carolina",788
37017,"Bladen County, North Carolina",1107
37019,"Brunswick County, North Carolina",11075
37021,"Buncombe County, North Carolina",28874
37023,"Burke County, North Carolina",3814
37025,"Cabarrus County, North Carolina",15836
37027,"Caldwell County, North Carolina",2985
37029,"Camden County, North Carolina",403
37031,"Carteret County, North Carolina",6179
37033,"Caswell County, North Carolina",817
37035,"Catawba County, North Carolina",7839
37037,"Chatham County, North Carolina",10429
37039,"Cherokee County, North Carolina",1738
37041,"Chowan County, North Carolina",860
37043,"Clay County, North Carolina",797
37045,"Cleveland County, North Carolina",4453
37047,"Columbus County, North Carolina",1801
37049,"Craven County, North Carolina",6169
37051,"Cumberland County, North Carolina",18085
37053,"Currituck County, North Carolina",1042
37055,"Dare County, North Carolina",3369
37057,"Davidson County, North Carolina",6045
37059,"Davie County, North Carolina",2728
37061,"Duplin County, North Carolina",1615
37063,"Durham County, North Carolina",49067
37065,"Edgecombe County, North Carolina",1508
37067,"Forsyth County, North Carolina",31865
37069,"Franklin County, North Carolina",3002
37071,"Gaston County, North Carolina",9813
37073,"Gates County, North Carolina",528
37075,"Graham County, North Carolina",299
37077,"Granville County, North Carolina",2953
37079,"Greene County, North Carolina",374
37081,"Guilford County, North Carolina",45466
37083,"Halifax County, North Carolina",1715
37085,"Harnett County, North Carolina",6121
37087,"Haywood County, North Carolina",4838
37089,"Henderson County, North Carolina",9632
37091,"Hertford County, North Carolina",972
37093,"Hoke County, North Carolina",2024
37095,"Hyde County, North Carolina",64
37097,"Iredell County, North Carolina",10201
37099,"Jackson County, North Carolina",3841
37101,"Johnston County, North Carolina",8356
37103,"Jones County, North Carolina",226
37105,"Lee County, North Carolina",2948
37107,"Lenoir County, North Carolina",1922
37109,"Lincoln County, North Carolina",4205
37111,"McDowell County, North Carolina",1773
37113,"Macon County, North Carolina",2054
37115,"Madison County, North Carolina",1741
37117,"Martin County, North Carolina",944
37119,"Mecklenburg County, North Carolina",112014
37121,"Mitchell County, North Carolina",723
37123,"Montgomery County, North Carolina",954
37125,"Moore County, North Carolina",9957
37127,"Nash County, North Carolina",4172
37129,"New Hanover County, North Carolina",21537
37131,"Northampton County, North Carolina",770
37133,"Onslow County, North Carolina",7243
37135,"Orange County, North Carolina",30542
37137,"Pamlico County, North Carolina",683
37139,"Pasquotank County, North Carolina",2321
37141,"Pender County, North Carolina",4319
37143,"Perquimans County, North Carolina",721
37145,"Person County, North Carolina",1162
37147,"Pitt County, North Carolina",13255
37149,"Polk County, North Carolina",1664
37151,"Randolph County, North Carolina",4349
37153,"Richmond County, North Carolina",1621
37155,"Robeson County, North Carolina",3730
37157,"Rockingham County, North Carolina",3114
37159,"Rowan County, North Carolina",5210
37161,"Rutherford County, North Carolina",2709
37163,"Sampson County, North Carolina",1712
37165,"Scotland County, North Carolina",1337
37167,"Stanly County, North Carolina",2099
37169,"Stokes County, North Carolina",1186
37171,"Surry County, North Carolina",2973
37173,"Swain County, North Carolina",629
37175,"Transylvania County, North Carolina",3362
37177,"Tyrrell County, North Carolina",88
37179,"Union County, North Carolina",16583
37181,"Vance County, North Carolina",1376
37183,"Wake County, North Carolina",141621
37185,"Warren County, North Carolina",622
37187,"Washington County, North Carolina",265
37189,"Watauga County, North Carolina",5716
37191,"Wayne County, North Carolina",4944
37193,"Wilkes County, North Carolina",2189
37195,"Wilson County, North Carolina",3199
37197,"Yadkin County, North Carolina",738
37199,"Yancey County, North Carolina",1064
